Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.util.StringUtils,2,1,3,0,7,6,1.5,28,52,0.538461538
org.jfree.data.ComparableObjectItem,16,1,2,5,14,13,1.62,62,114,0.543859649
org.jfree.data.ComparableObjectSeries,22,2,1,6,45,50,2.38,182,380,0.478947368
org.jfree.data.DataUtils,13,1,6,0,21,32,3.56,87,208,0.418269231
org.jfree.data.DefaultKeyedValue,6,1,2,0,14,13,1.62,58,109,0.532110092
org.jfree.data.DefaultKeyedValues,16,1,1,0,52,43,1.95,175,366,0.478142077
org.jfree.data.DefaultKeyedValues2D,13,1,1,0,55,56,2.43,217,464,0.467672414
org.jfree.data.DomainInfo,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.DomainOrder,13,n/a,2,n/a,2,0,n/a,6,11,0.545454545
org.jfree.data.ItemKey,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.KeyToGroupMap,7,1,1,0,40,34,2.62,91,245,0.371428571
org.jfree.data.KeyedObject,3,1,2,0,11,12,1.71,44,96,0.458333333
org.jfree.data.KeyedObjects,6,1,1,0,35,37,2.31,131,274,0.47810219
org.jfree.data.KeyedObjects2D,8,1,1,0,47,56,2.55,183,421,0.434679335
org.jfree.data.KeyedValue,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.KeyedValueComparator,6,1,1,0,11,18,4.5,32,111,0.288288288
org.jfree.data.KeyedValueComparatorType,2,n/a,2,n/a,2,0,n/a,6,10,0.6
org.jfree.data.KeyedValues,n/a,n/a,n/a,n/a,4,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.KeyedValues2D,n/a,n/a,n/a,n/a,7,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.KeyedValues2DItemKey,4,1,1,0,16,13,1.62,34,102,0.333333333
org.jfree.data.KeyedValuesItemKey,2,1,1,0,13,9,1.5,23,68,0.338235294
org.jfree.data.Range,139,1,1,1,29,50,2.17,191,383,0.498694517
org.jfree.data.RangeInfo,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.RangeType,3,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.data.UnknownKeyException,20,5,0,0,2,1,1,8,13,0.615384615
org.jfree.data.Value,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.Values,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.Values2D,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.category.CategoryDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.category.CategoryRangeInfo,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.category.CategoryToPieDataset,14,2,2,0,29,39,3.25,112,258,0.434108527
org.jfree.data.category.DefaultCategoryDataset,41,2,1,1,55,35,1.4,219,357,0.613445378
org.jfree.data.category.DefaultIntervalCategoryDataset,10,3,2,0,49,83,2.52,327,697,0.469153515
org.jfree.data.category.IntervalCategoryDataset,n/a,n/a,n/a,n/a,4,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.category.SlidingCategoryDataset,7,2,1,0,40,34,1.7,156,299,0.52173913
org.jfree.data.flow.DefaultFlowDataset,8,2,3,0,50,42,2.47,134,301,0.445182724
org.jfree.data.flow.FlowDataset,n/a,n/a,n/a,n/a,8,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.flow.FlowDatasetUtils,5,1,4,0,19,26,3.71,70,156,0.448717949
org.jfree.data.flow.FlowKey,11,1,3,0,13,14,1.75,55,116,0.474137931
org.jfree.data.flow.NodeKey,9,1,2,0,12,12,1.71,49,100,0.49
org.jfree.data.function.Function2D,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.function.LineFunction2D,4,1,1,0,7,9,1.5,44,83,0.530120482
org.jfree.data.function.NormalDistributionFunction2D,3,1,2,0,10,10,1.67,44,91,0.483516484
org.jfree.data.function.PolynomialFunction2D,5,1,1,0,11,8,1.33,44,77,0.571428571
org.jfree.data.function.PowerFunction2D,3,1,1,0,8,9,1.5,44,83,0.530120482
org.jfree.data.gantt.GanttCategoryDataset,n/a,n/a,n/a,n/a,10,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.gantt.SlidingGanttCategoryDataset,8,2,1,0,59,61,1.85,296,571,0.518388792
org.jfree.data.gantt.Task,13,1,4,0,27,22,1.38,96,185,0.518918919
org.jfree.data.gantt.TaskSeries,11,2,1,0,28,17,1.55,70,141,0.496453901
org.jfree.data.gantt.TaskSeriesCollection,16,3,1,0,70,64,1.68,284,587,0.483816014
org.jfree.data.gantt.XYTaskDataset,11,4,2,0,49,44,1.42,207,399,0.518796992
org.jfree.data.general.AbstractDataset,55,1,1,15,24,16,1.33,116,179,0.648044693
org.jfree.data.general.AbstractSeriesDataset,11,2,2,3,8,5,1.67,37,63,0.587301587
org.jfree.data.general.Dataset,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.DatasetChangeEvent,34,2,1,0,3,2,1,23,33,0.696969697
org.jfree.data.general.DatasetChangeListener,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.DatasetUtils,63,1,17,0,135,319,5.5,830,2253,0.368397692
org.jfree.data.general.DefaultHeatMapDataset,5,2,3,0,22,32,2.13,132,264,0.5
org.jfree.data.general.DefaultKeyedValueDataset,7,2,1,0,19,20,2,63,136,0.463235294
org.jfree.data.general.DefaultKeyedValues2DDataset,3,3,0,0,0,0,n/a,8,13,0.615384615
org.jfree.data.general.DefaultKeyedValuesDataset,3,3,0,0,0,0,n/a,6,10,0.6
org.jfree.data.general.DefaultPieDataset,25,2,1,1,44,29,1.53,161,277,0.581227437
org.jfree.data.general.DefaultValueDataset,10,2,1,0,14,10,1.43,43,81,0.530864198
org.jfree.data.general.HeatMapDataset,n/a,n/a,n/a,n/a,10,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.HeatMapUtils,6,1,3,0,17,7,2.33,34,75,0.453333333
org.jfree.data.general.KeyedValueDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.KeyedValues2DDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.KeyedValuesDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.PieDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.Series,36,1,3,6,23,19,1.58,107,182,0.587912088
org.jfree.data.general.SeriesChangeEvent,14,2,0,0,2,1,1,9,15,0.6
org.jfree.data.general.SeriesChangeListener,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.SeriesDataset,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.SeriesException,7,4,0,0,2,1,1,9,15,0.6
org.jfree.data.general.ValueDataset,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.general.WaferMapDataset,5,2,4,0,31,29,1.53,129,234,0.551282051
org.jfree.data.io.CSV,2,1,1,0,19,16,2.67,56,140,0.4
org.jfree.data.json.JSONUtils,4,1,2,0,17,14,3.5,50,141,0.354609929
org.jfree.data.json.impl.JSONArray,3,4,2,0,16,13,2.6,50,116,0.431034483
org.jfree.data.json.impl.JSONAware,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.json.impl.JSONObject,3,3,2,0,24,14,2,68,147,0.462585034
org.jfree.data.json.impl.JSONStreamAware,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.json.impl.JSONValue,5,1,1,0,25,40,10,137,287,0.477351916
org.jfree.data.resources.DataPackageResources,0,3,1,0,1,1,1,10,20,0.5
org.jfree.data.resources.DataPackageResources_de,0,3,1,0,1,1,1,9,19,0.473684211
org.jfree.data.resources.DataPackageResources_es,0,3,1,0,1,1,1,9,19,0.473684211
org.jfree.data.resources.DataPackageResources_fr,0,3,1,0,1,1,1,9,19,0.473684211
org.jfree.data.resources.DataPackageResources_pl,0,3,1,0,1,1,1,9,19,0.473684211
org.jfree.data.resources.DataPackageResources_ru,0,3,1,0,1,1,1,9,19,0.473684211
org.jfree.data.statistics.BoxAndWhiskerCalculator,5,1,1,0,18,19,4.75,54,159,0.339622642
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,n/a,n/a,n/a,n/a,18,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.statistics.BoxAndWhiskerItem,10,1,9,0,19,26,1.86,103,223,0.461883408
org.jfree.data.statistics.BoxAndWhiskerXYDataset,n/a,n/a,n/a,n/a,11,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,10,2,1,2,81,82,1.82,421,824,0.51092233
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,9,4,4,0,51,49,1.75,248,478,0.518828452
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,10,2,1,0,49,41,2.05,149,333,0.447447447
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,12,2,1,0,62,65,2.17,264,617,0.427876823
org.jfree.data.statistics.HistogramBin,2,1,2,0,12,13,1.44,50,110,0.454545455
org.jfree.data.statistics.HistogramDataset,9,5,1,0,43,43,1.95,215,415,0.518072289
org.jfree.data.statistics.HistogramType,1,n/a,2,n/a,2,0,n/a,6,11,0.545454545
org.jfree.data.statistics.MeanAndStandardDeviation,2,1,1,0,13,15,1.67,64,126,0.507936508
org.jfree.data.statistics.MultiValueCategoryDataset,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.statistics.Regression,4,1,3,0,16,36,6,72,292,0.246575342
org.jfree.data.statistics.SimpleHistogramBin,4,1,2,0,16,35,2.92,89,216,0.412037037
org.jfree.data.statistics.SimpleHistogramDataset,11,5,4,0,51,43,1.54,229,403,0.568238213
org.jfree.data.statistics.StatisticalCategoryDataset,n/a,n/a,n/a,n/a,4,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.statistics.Statistics,4,1,1,0,25,46,3.54,151,379,0.398416887
org.jfree.data.time.DateRange,5,2,2,0,16,9,1,68,107,0.635514019
org.jfree.data.time.Day,26,2,2,0,47,31,1.29,213,389,0.547557841
org.jfree.data.time.DynamicTimeSeriesCollection,14,5,1,0,59,90,2.14,408,772,0.528497409
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,1,1,0,4,5,1.25,25,43,0.581395349
org.jfree.data.time.FixedMillisecond,3,2,2,0,20,24,1.41,114,221,0.515837104
org.jfree.data.time.Hour,11,2,1,0,51,37,1.54,213,401,0.53117207
org.jfree.data.time.Millisecond,8,2,1,0,46,36,1.89,183,370,0.494594595
org.jfree.data.time.Minute,12,2,2,0,52,36,1.64,207,406,0.509852217
org.jfree.data.time.Month,12,2,2,0,45,47,1.96,221,452,0.488938053
org.jfree.data.time.MovingAverage,11,1,3,0,33,32,5.33,96,256,0.375
org.jfree.data.time.Quarter,7,2,2,0,43,35,1.59,207,397,0.521410579
org.jfree.data.time.RegularTimePeriod,42,1,9,10,34,24,2.18,216,318,0.679245283
org.jfree.data.time.Second,11,2,2,0,52,38,1.9,189,378,0.5
org.jfree.data.time.SimpleTimePeriod,8,1,1,0,15,20,2.22,75,163,0.460122699
org.jfree.data.time.TimePeriod,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.time.TimePeriodAnchor,11,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.data.time.TimePeriodFormatException,7,5,0,0,2,1,1,9,14,0.642857143
org.jfree.data.time.TimePeriodValue,6,1,2,0,15,17,1.89,68,130,0.523076923
org.jfree.data.time.TimePeriodValues,8,2,1,0,44,44,2,169,382,0.442408377
org.jfree.data.time.TimePeriodValuesCollection,12,5,1,0,56,41,1.78,169,366,0.461748634
org.jfree.data.time.TimeSeries,17,2,1,0,109,138,2.56,538,1117,0.481647269
org.jfree.data.time.TimeSeriesCollection,22,5,2,0,85,71,1.87,305,614,0.496742671
org.jfree.data.time.TimeSeriesDataItem,6,1,2,0,16,15,1.67,90,151,0.59602649
org.jfree.data.time.TimeSeriesTableModel,5,2,6,0,21,26,2.36,78,201,0.388059701
org.jfree.data.time.TimeTableXYDataset,14,5,1,0,67,51,1.55,295,510,0.578431373
org.jfree.data.time.Week,5,2,2,0,50,53,2.12,258,553,0.466546112
org.jfree.data.time.Year,22,2,2,0,32,26,1.37,192,327,0.587155963
org.jfree.data.time.ohlc.OHLC,3,1,4,0,8,13,1.86,50,106,0.471698113
org.jfree.data.time.ohlc.OHLCItem,6,2,2,0,15,11,1.57,43,91,0.472527473
org.jfree.data.time.ohlc.OHLCSeries,8,3,2,0,21,8,1.33,54,87,0.620689655
org.jfree.data.time.ohlc.OHLCSeriesCollection,14,4,3,0,60,40,1.43,233,406,0.573891626
org.jfree.data.xml.CategoryDatasetHandler,6,3,2,0,16,9,1.8,38,80,0.475
org.jfree.data.xml.CategorySeriesHandler,5,2,1,0,17,9,1.8,39,90,0.433333333
org.jfree.data.xml.DatasetReader,5,1,1,0,17,7,1.17,52,111,0.468468468
org.jfree.data.xml.DatasetTags,n/a,n/a,n/a,n/a,0,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xml.ItemHandler,6,2,1,0,15,11,1.57,50,108,0.462962963
org.jfree.data.xml.KeyHandler,4,2,1,0,18,9,1.5,49,98,0.5
org.jfree.data.xml.PieDatasetHandler,6,3,2,0,15,9,1.8,37,76,0.486842105
org.jfree.data.xml.RootHandler,7,2,1,2,12,10,1.67,36,71,0.507042254
org.jfree.data.xml.ValueHandler,4,2,1,0,18,10,1.67,47,103,0.45631068
org.jfree.data.xy.AbstractIntervalXYDataset,19,4,1,14,9,8,2,40,80,0.5
org.jfree.data.xy.AbstractXYDataset,17,3,2,10,6,5,1.67,27,52,0.519230769
org.jfree.data.xy.AbstractXYZDataset,4,4,1,2,3,2,2,12,24,0.5
org.jfree.data.xy.CategoryTableXYDataset,11,5,2,0,55,33,1.22,206,341,0.604105572
org.jfree.data.xy.DefaultHighLowDataset,6,4,4,0,24,34,1.79,208,358,0.581005587
org.jfree.data.xy.DefaultIntervalXYDataset,11,5,1,0,39,34,1.7,295,483,0.610766046
org.jfree.data.xy.DefaultOHLCDataset,9,4,3,0,33,29,1.45,157,281,0.558718861
org.jfree.data.xy.DefaultTableXYDataset,26,5,2,0,89,69,1.92,252,532,0.473684211
org.jfree.data.xy.DefaultWindDataset,7,4,2,0,29,26,2,130,251,0.517928287
org.jfree.data.xy.DefaultXYDataset,17,4,2,4,33,29,1.93,178,316,0.563291139
org.jfree.data.xy.DefaultXYZDataset,12,5,2,0,36,29,1.71,211,359,0.587743733
org.jfree.data.xy.IntervalXYDataset,n/a,n/a,n/a,n/a,8,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.IntervalXYDelegate,14,1,1,0,38,40,1.82,221,390,0.566666667
org.jfree.data.xy.IntervalXYZDataset,n/a,n/a,n/a,n/a,6,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.MatrixSeries,6,2,1,1,14,20,1.82,89,161,0.552795031
org.jfree.data.xy.MatrixSeriesCollection,9,5,1,0,38,23,1.44,129,229,0.563318777
org.jfree.data.xy.NormalizedMatrixSeries,1,3,1,0,12,6,1,61,95,0.642105263
org.jfree.data.xy.OHLCDataItem,6,1,6,0,14,17,1.89,70,143,0.48951049
org.jfree.data.xy.OHLCDataset,n/a,n/a,n/a,n/a,10,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.TableXYDataset,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.Vector,4,1,1,0,10,11,1.57,45,91,0.494505495
org.jfree.data.xy.VectorDataItem,6,2,4,0,15,8,1.33,39,73,0.534246575
org.jfree.data.xy.VectorSeries,7,3,3,0,20,10,1,83,123,0.674796748
org.jfree.data.xy.VectorSeriesCollection,12,4,1,0,41,22,1.22,153,259,0.590733591
org.jfree.data.xy.VectorXYDataset,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.WindDataItem,1,1,3,0,9,14,2.33,43,100,0.43
org.jfree.data.xy.WindDataset,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.XIntervalDataItem,5,2,2,0,12,8,1.6,31,63,0.492063492
org.jfree.data.xy.XIntervalSeries,6,3,2,0,17,9,1,81,117,0.692307692
org.jfree.data.xy.XIntervalSeriesCollection,11,5,1,0,50,27,1.23,185,313,0.591054313
org.jfree.data.xy.XYBarDataset,12,5,2,0,36,29,1.32,195,316,0.617088608
org.jfree.data.xy.XYCoordinate,3,1,1,0,10,17,2.12,49,118,0.415254237
org.jfree.data.xy.XYDataItem,4,1,2,0,21,21,1.62,95,183,0.519125683
org.jfree.data.xy.XYDataset,n/a,n/a,n/a,n/a,6,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.XYDatasetTableModel,6,2,3,0,20,17,1.7,125,193,0.647668394
org.jfree.data.xy.XYDomainInfo,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.XYInterval,2,1,5,0,7,14,2,50,106,0.471698113
org.jfree.data.xy.XYIntervalDataItem,4,2,2,0,16,12,1.71,43,97,0.443298969
org.jfree.data.xy.XYIntervalSeries,8,3,2,0,21,11,1,105,150,0.7
org.jfree.data.xy.XYIntervalSeriesCollection,12,5,1,0,47,27,1.23,190,313,0.607028754
org.jfree.data.xy.XYItemKey,3,1,1,0,17,13,1.62,33,98,0.336734694
org.jfree.data.xy.XYRangeInfo,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.XYSeries,50,2,1,0,82,100,2.22,428,842,0.508313539
org.jfree.data.xy.XYSeriesCollection,50,5,1,0,97,81,2.08,303,650,0.466153846
org.jfree.data.xy.XYZDataset,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.XisSymbolic,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.data.xy.YInterval,2,1,3,0,5,10,2,36,75,0.48
org.jfree.data.xy.YIntervalDataItem,4,2,2,0,12,8,1.6,31,66,0.46969697
org.jfree.data.xy.YIntervalSeries,8,3,2,0,17,9,1,83,118,0.703389831
org.jfree.data.xy.YIntervalSeriesCollection,12,5,1,0,42,24,1.2,164,277,0.592057762
org.jfree.data.xy.YWithXInterval,2,1,3,0,5,10,2,40,79,0.506329114
org.jfree.data.xy.YisSymbolic,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
