Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.renderer.LookupPaintScale,12,1,1,0,28,28,2.55,89,207,0.429951691
org.jfree.chart.renderer.LookupPaintScale.PaintItem,3,1,1,0,10,11,2.2,41,89,0.460674157
org.jfree.chart.renderer.NotOutlierException,0,3,0,0,2,1,1,9,14,0.642857143
org.jfree.chart.renderer.Outlier,5,1,1,0,15,17,1.55,82,150,0.546666667
org.jfree.chart.renderer.OutlierList,4,1,2,0,18,11,1.22,71,116,0.612068966
org.jfree.chart.renderer.OutlierListCollection,4,1,3,0,17,12,1.5,72,117,0.615384615
org.jfree.chart.renderer.PaintScale,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.PolarItemRenderer,n/a,n/a,n/a,n/a,15,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.RendererState,32,1,2,3,7,7,1.4,37,64,0.578125
org.jfree.chart.renderer.RendererUtils,5,1,1,0,10,32,10.67,59,208,0.283653846
org.jfree.chart.renderer.WaferMapRenderer,8,2,1,0,46,45,3,110,293,0.375426621
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,79,2,10,8,204,163,2.76,582,1449,0.401656315
org.jfree.chart.renderer.category.AreaRenderer,22,3,2,1,67,30,4.29,71,243,0.29218107
org.jfree.chart.renderer.category.BarPainter,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.category.BarRenderer,50,3,7,5,162,134,2.73,485,1126,0.430728242
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,27,3,3,0,137,101,2.97,377,933,0.404072883
org.jfree.chart.renderer.category.CategoryItemRenderer,n/a,n/a,n/a,n/a,135,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.renderer.category.CategoryItemRendererState,25,2,4,1,13,16,1.45,87,147,0.591836735
org.jfree.chart.renderer.category.CategoryStepRenderer,18,3,3,0,56,28,3.11,105,250,0.42
org.jfree.chart.renderer.category.CategoryStepRenderer.State,3,3,0,0,3,1,1,13,20,0.65
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,3,4,0,0,0,0,n/a,6,10,0.6
org.jfree.chart.renderer.category.GanttRenderer,23,5,2,0,68,55,3.44,170,497,0.342052314
org.jfree.chart.renderer.category.GradientBarPainter,9,1,1,0,34,31,3.44,91,294,0.30952381
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,23,5,1,0,56,32,4.57,79,279,0.283154122
org.jfree.chart.renderer.category.IntervalBarRenderer,19,4,2,1,36,19,3.8,66,170,0.388235294
org.jfree.chart.renderer.category.LayeredBarRenderer,17,4,2,0,67,55,6.11,111,373,0.297587131
org.jfree.chart.renderer.category.LevelRenderer,18,3,1,0,69,35,2.69,147,348,0.422413793
org.jfree.chart.renderer.category.LineAndShapeRenderer,27,3,2,2,100,80,2.29,357,714,0.5
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,16,3,2,0,54,47,1.88,189,428,0.441588785
org.jfree.chart.renderer.category.ScatterRenderer,17,3,2,0,84,53,2.21,229,472,0.485169492
org.jfree.chart.renderer.category.StackedAreaRenderer,18,4,2,0,46,40,3.64,118,382,0.308900524
org.jfree.chart.renderer.category.StackedBarRenderer,25,4,2,1,57,37,4.11,93,288,0.322916667
org.jfree.chart.renderer.category.StandardBarPainter,8,1,2,0,25,21,3.5,61,156,0.391025641
org.jfree.chart.renderer.category.StatisticalBarRenderer,22,4,2,0,56,54,4.5,148,451,0.328159645
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,21,4,2,0,71,45,3.75,122,363,0.336088154
org.jfree.chart.renderer.category.WaterfallBarRenderer,24,4,2,0,64,41,2.73,134,368,0.364130435
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,85,2,11,18,209,169,3.13,513,1426,0.359747546
org.jfree.chart.renderer.xy.CandlestickRenderer,25,3,2,0,84,77,2.57,352,749,0.469959947
