Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.block.ColumnArrangement,0,9,33,3,537,3,2
org.jfree.chart.block.EmptyBlock,0,5,18,5,5,2,1
org.jfree.chart.block.FlowArrangement,0,9,33,3,537,3,2
org.jfree.chart.block.GridArrangement,0,7,31,1,1,2,1
org.jfree.chart.block.LabelBlock,0,16,37,3,537,5,3
org.jfree.chart.block.LengthConstraintType,0,0,0,14,553,0,4
org.jfree.chart.block.LineBorder,0,5,8,1,1,3,1
org.jfree.chart.block.RectangleConstraint,0,4,5,24,552,3,5
org.jfree.chart.block.Size2D,0,1,1,32,575,1,9
org.jfree.chart.date.SerialDate,1,3,3,6,98,1,2
org.jfree.chart.date.SpreadsheetDate,1,2,3,1,98,1,1
org.jfree.chart.encoders.EncoderUtil,0,2,2,1,9,1,1
org.jfree.chart.encoders.ImageEncoderFactory,0,1,1,1,10,1,1
org.jfree.chart.encoders.SunJPEGEncoderAdapter,0,2,2,0,0,2,0
org.jfree.chart.encoders.SunPNGEncoderAdapter,0,3,3,0,0,2,0
org.jfree.chart.entity.AxisEntity,26,5,109,1,536,3,1
org.jfree.chart.entity.CategoryItemEntity,0,3,13,3,97,3,3
org.jfree.chart.entity.CategoryLabelEntity,0,3,8,2,114,2,2
org.jfree.chart.entity.ChartEntity,0,6,6,30,584,3,7
org.jfree.chart.entity.FlowEntity,0,3,8,2,3,3,2
org.jfree.chart.entity.JFreeChartEntity,26,5,109,1,536,3,1
org.jfree.chart.entity.LegendItemEntity,0,2,10,2,538,2,2
org.jfree.chart.entity.NodeEntity,0,3,8,1,2,3,1
org.jfree.chart.entity.PieSectionEntity,0,3,13,4,50,3,3
org.jfree.chart.entity.PlotEntity,26,5,109,1,536,3,1
org.jfree.chart.entity.StandardEntityCollection,0,4,8,9,571,3,6
org.jfree.chart.entity.TickLabelEntity,0,1,7,2,116,1,1
