Javadoc coverage metrics,Wed., 19 Oct. 2022 18:53:36 EDT,
Class,Jf,JLOC,Jm
org.jfree.chart.block.RectangleConstraint,85.71%,136,100.00%
org.jfree.chart.block.Size2D,100.00%,63,100.00%
org.jfree.chart.date.SerialDate,100.00%,456,100.00%
org.jfree.chart.date.SpreadsheetDate,100.00%,188,100.00%
org.jfree.chart.encoders.EncoderUtil,100.00%,85,100.00%
org.jfree.chart.encoders.ImageEncoderFactory,100.00%,47,100.00%
org.jfree.chart.encoders.SunJPEGEncoderAdapter,100.00%,61,100.00%
org.jfree.chart.encoders.SunPNGEncoderAdapter,100.00%,44,100.00%
org.jfree.chart.entity.AxisEntity,100.00%,74,100.00%
org.jfree.chart.entity.CategoryItemEntity,100.00%,74,100.00%
org.jfree.chart.entity.CategoryLabelEntity,100.00%,37,100.00%
org.jfree.chart.entity.ChartEntity,100.00%,147,100.00%
org.jfree.chart.entity.FlowEntity,0.00%,31,80.00%
org.jfree.chart.entity.JFreeChartEntity,100.00%,73,100.00%
org.jfree.chart.entity.LegendItemEntity,100.00%,63,100.00%
org.jfree.chart.entity.NodeEntity,0.00%,30,100.00%
org.jfree.chart.entity.PieSectionEntity,100.00%,94,100.00%
org.jfree.chart.entity.PlotEntity,100.00%,73,100.00%
org.jfree.chart.entity.StandardEntityCollection,100.00%,69,91.67%
org.jfree.chart.entity.TickLabelEntity,100.00%,12,100.00%
org.jfree.chart.entity.TitleEntity,100.00%,73,100.00%
org.jfree.chart.entity.XYAnnotationEntity,100.00%,31,100.00%
org.jfree.chart.entity.XYItemEntity,100.00%,61,100.00%
org.jfree.chart.event.AnnotationChangeEvent,100.00%,17,100.00%
org.jfree.chart.event.AxisChangeEvent,100.00%,15,100.00%
org.jfree.chart.event.ChartChangeEvent,100.00%,46,100.00%
org.jfree.chart.event.ChartChangeEventType,100.00%,6,0.00%
org.jfree.chart.event.ChartProgressEvent,100.00%,45,100.00%
org.jfree.chart.event.ChartProgressEventType,100.00%,5,0.00%
org.jfree.chart.event.MarkerChangeEvent,100.00%,16,100.00%
org.jfree.chart.event.PlotChangeEvent,100.00%,17,100.00%
org.jfree.chart.event.RendererChangeEvent,100.00%,33,100.00%
org.jfree.chart.event.TitleChangeEvent,100.00%,14,100.00%
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,100.00%,24,100.00%
org.jfree.chart.imagemap.ImageMapUtils,100.00%,79,100.00%
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,100.00%,14,100.00%
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,100.00%,13,100.00%
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,100.00%,13,100.00%
org.jfree.chart.internal.Args,100.00%,45,100.00%
org.jfree.chart.internal.ArrayUtils,100.00%,47,100.00%
org.jfree.chart.internal.CloneUtils,100.00%,50,100.00%
org.jfree.chart.internal.HashUtils,100.00%,88,100.00%
org.jfree.chart.internal.LineUtils,100.00%,24,100.00%
org.jfree.chart.internal.PaintUtils,100.00%,42,100.00%
org.jfree.chart.internal.SerialUtils,100.00%,168,100.00%
org.jfree.chart.internal.ShapeUtils,100.00%,191,100.00%
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,100.00%,116,100.00%
org.jfree.chart.labels.AbstractPieItemLabelGenerator,100.00%,75,100.00%
org.jfree.chart.labels.AbstractXYItemLabelGenerator,100.00%,125,100.00%
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,100.00%,46,100.00%
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,100.00%,50,100.00%
org.jfree.chart.labels.BubbleXYItemLabelGenerator,100.00%,92,100.00%
org.jfree.chart.labels.CustomXYToolTipGenerator,100.00%,57,100.00%
org.jfree.chart.labels.HighLowItemLabelGenerator,100.00%,57,100.00%
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,100.00%,33,100.00%
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,100.00%,41,83.33%
org.jfree.chart.labels.IntervalXYItemLabelGenerator,100.00%,84,90.00%
org.jfree.chart.labels.IntervalXYToolTipGenerator,100.00%,84,90.00%
org.jfree.chart.labels.ItemLabelAnchor,100.00%,29,0.00%
org.jfree.chart.labels.ItemLabelPosition,100.00%,59,88.89%
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,100.00%,65,100.00%
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,100.00%,51,85.71%
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,100.00%,52,100.00%
org.jfree.chart.labels.StandardCategoryToolTipGenerator,100.00%,41,83.33%
org.jfree.chart.labels.StandardCrosshairLabelGenerator,100.00%,45,100.00%
org.jfree.chart.labels.StandardFlowLabelGenerator,100.00%,33,80.00%
org.jfree.chart.labels.StandardPieSectionLabelGenerator,100.00%,110,91.67%
org.jfree.chart.labels.StandardPieToolTipGenerator,100.00%,56,100.00%
org.jfree.chart.labels.StandardXYItemLabelGenerator,100.00%,80,90.00%
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,100.00%,58,100.00%
org.jfree.chart.labels.StandardXYToolTipGenerator,100.00%,80,90.00%
org.jfree.chart.labels.StandardXYZToolTipGenerator,100.00%,86,90.00%
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,100.00%,51,100.00%
org.jfree.chart.legend.LegendGraphic,100.00%,315,100.00%
org.jfree.chart.legend.LegendItem,100.00%,476,98.28%
org.jfree.chart.legend.LegendItemBlockContainer,100.00%,65,100.00%
org.jfree.chart.legend.LegendItemCollection,100.00%,51,88.89%
org.jfree.chart.legend.LegendRenderingOrder,100.00%,5,0.00%
org.jfree.chart.legend.LegendTitle,100.00%,234,97.14%
org.jfree.chart.legend.PaintScaleLegend,100.00%,234,100.00%
org.jfree.chart.plot.CategoryCrosshairState,100.00%,58,100.00%
org.jfree.chart.plot.CategoryMarker,100.00%,70,100.00%
org.jfree.chart.plot.CategoryPlot,100.00%,"2,000",99.11%
org.jfree.chart.plot.CenterTextMode,100.00%,6,0.00%
org.jfree.chart.plot.CombinedDomainCategoryPlot,100.00%,201,100.00%
org.jfree.chart.plot.CombinedDomainXYPlot,100.00%,233,100.00%
org.jfree.chart.plot.CombinedRangeCategoryPlot,100.00%,155,100.00%
org.jfree.chart.plot.CombinedRangeXYPlot,100.00%,213,100.00%
org.jfree.chart.plot.Crosshair,100.00%,340,100.00%
org.jfree.chart.plot.CrosshairState,100.00%,179,100.00%
org.jfree.chart.plot.DatasetRenderingOrder,100.00%,13,0.00%
org.jfree.chart.plot.DefaultDrawingSupplier,100.00%,142,100.00%
org.jfree.chart.plot.DialShape,100.00%,7,0.00%
