Javadoc coverage metrics,Wed., 19 Oct. 2022 18:53:36 EDT,
Class,Jf,JLOC,Jm
org.jfree.data.ComparableObjectSeries,100.00%,175,100.00%
org.jfree.data.DataUtils,100.00%,86,100.00%
org.jfree.data.DefaultKeyedValue,100.00%,58,100.00%
org.jfree.data.DefaultKeyedValues,100.00%,174,100.00%
org.jfree.data.DefaultKeyedValues2D,100.00%,204,100.00%
org.jfree.data.DomainOrder,100.00%,6,0.00%
org.jfree.data.KeyToGroupMap,100.00%,90,92.31%
org.jfree.data.KeyedObject,100.00%,44,85.71%
org.jfree.data.KeyedObjects,100.00%,130,100.00%
org.jfree.data.KeyedObjects2D,100.00%,181,100.00%
org.jfree.data.KeyedValueComparator,100.00%,32,100.00%
org.jfree.data.KeyedValueComparatorType,100.00%,6,0.00%
org.jfree.data.KeyedValues2DItemKey,100.00%,34,50.00%
org.jfree.data.KeyedValuesItemKey,100.00%,23,50.00%
org.jfree.data.Range,100.00%,190,95.65%
org.jfree.data.RangeType,100.00%,7,0.00%
org.jfree.data.UnknownKeyException,100.00%,8,100.00%
org.jfree.data.category.CategoryToPieDataset,100.00%,110,100.00%
org.jfree.data.category.DefaultCategoryDataset,100.00%,217,100.00%
org.jfree.data.category.DefaultIntervalCategoryDataset,100.00%,312,96.97%
org.jfree.data.category.SlidingCategoryDataset,100.00%,155,95.00%
org.jfree.data.flow.DefaultFlowDataset,100.00%,134,94.12%
org.jfree.data.flow.FlowDatasetUtils,100.00%,65,85.71%
org.jfree.data.flow.FlowKey,50.00%,53,87.50%
org.jfree.data.flow.NodeKey,66.67%,48,85.71%
org.jfree.data.function.LineFunction2D,100.00%,44,100.00%
org.jfree.data.function.NormalDistributionFunction2D,100.00%,43,100.00%
org.jfree.data.function.PolynomialFunction2D,100.00%,44,100.00%
org.jfree.data.function.PowerFunction2D,100.00%,44,100.00%
org.jfree.data.gantt.SlidingGanttCategoryDataset,100.00%,295,100.00%
org.jfree.data.gantt.Task,100.00%,96,93.75%
org.jfree.data.gantt.TaskSeries,100.00%,70,90.91%
org.jfree.data.gantt.TaskSeriesCollection,100.00%,276,97.37%
org.jfree.data.gantt.XYTaskDataset,100.00%,207,77.42%
org.jfree.data.general.AbstractDataset,100.00%,114,100.00%
org.jfree.data.general.AbstractSeriesDataset,100.00%,37,100.00%
org.jfree.data.general.DatasetChangeEvent,100.00%,23,100.00%
org.jfree.data.general.DatasetUtils,100.00%,773,100.00%
org.jfree.data.general.DefaultHeatMapDataset,100.00%,131,100.00%
org.jfree.data.general.DefaultKeyedValueDataset,100.00%,63,100.00%
org.jfree.data.general.DefaultKeyedValues2DDataset,100.00%,7,100.00%
org.jfree.data.general.DefaultKeyedValuesDataset,100.00%,5,100.00%
org.jfree.data.general.DefaultPieDataset,100.00%,161,100.00%
org.jfree.data.general.DefaultValueDataset,100.00%,43,100.00%
org.jfree.data.general.HeatMapUtils,100.00%,34,100.00%
org.jfree.data.general.Series,100.00%,107,100.00%
org.jfree.data.general.SeriesChangeEvent,100.00%,9,100.00%
org.jfree.data.general.SeriesException,100.00%,9,100.00%
org.jfree.data.general.WaferMapDataset,100.00%,128,100.00%
org.jfree.data.io.CSV,100.00%,50,100.00%
org.jfree.data.json.JSONUtils,100.00%,49,100.00%
org.jfree.data.json.impl.JSONArray,0.00%,50,100.00%
org.jfree.data.json.impl.JSONObject,0.00%,68,100.00%
org.jfree.data.json.impl.JSONValue,100.00%,59,100.00%
org.jfree.data.resources.DataPackageResources,100.00%,10,100.00%
org.jfree.data.resources.DataPackageResources_de,100.00%,9,100.00%
org.jfree.data.resources.DataPackageResources_es,100.00%,9,100.00%
org.jfree.data.resources.DataPackageResources_fr,100.00%,9,100.00%
org.jfree.data.resources.DataPackageResources_pl,100.00%,9,100.00%
org.jfree.data.resources.DataPackageResources_ru,100.00%,9,100.00%
org.jfree.data.statistics.BoxAndWhiskerCalculator,100.00%,54,100.00%
org.jfree.data.statistics.BoxAndWhiskerItem,100.00%,102,92.86%
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,100.00%,416,97.78%
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,100.00%,248,96.43%
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,100.00%,148,95.00%
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,100.00%,252,96.67%
org.jfree.data.statistics.HistogramBin,100.00%,50,88.89%
org.jfree.data.statistics.HistogramDataset,100.00%,205,95.45%
org.jfree.data.statistics.HistogramType,100.00%,6,0.00%
org.jfree.data.statistics.MeanAndStandardDeviation,100.00%,64,88.89%
org.jfree.data.statistics.Regression,100.00%,70,100.00%
org.jfree.data.statistics.SimpleHistogramBin,100.00%,88,91.67%
org.jfree.data.statistics.SimpleHistogramDataset,100.00%,228,96.43%
org.jfree.data.statistics.Statistics,100.00%,137,100.00%
org.jfree.data.time.DateRange,100.00%,68,100.00%
org.jfree.data.time.Day,100.00%,203,95.83%
org.jfree.data.time.DynamicTimeSeriesCollection,100.00%,342,100.00%
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,100.00%,25,100.00%
org.jfree.data.time.FixedMillisecond,100.00%,105,100.00%
org.jfree.data.time.Hour,100.00%,201,100.00%
org.jfree.data.time.Millisecond,100.00%,176,100.00%
org.jfree.data.time.Minute,100.00%,197,100.00%
org.jfree.data.time.Month,100.00%,208,100.00%
org.jfree.data.time.MovingAverage,100.00%,84,100.00%
org.jfree.data.time.Quarter,100.00%,195,100.00%
org.jfree.data.time.RegularTimePeriod,0.00%,214,100.00%
org.jfree.data.time.Second,100.00%,181,100.00%
org.jfree.data.time.SimpleTimePeriod,100.00%,75,100.00%
org.jfree.data.time.TimePeriodAnchor,100.00%,7,0.00%
org.jfree.data.time.TimePeriodFormatException,100.00%,9,100.00%
org.jfree.data.time.TimePeriodValue,100.00%,67,100.00%
org.jfree.data.time.TimePeriodValues,100.00%,169,100.00%
org.jfree.data.time.TimePeriodValuesCollection,100.00%,168,95.65%
org.jfree.data.time.TimeSeries,100.00%,508,100.00%
org.jfree.data.time.TimeSeriesCollection,100.00%,294,100.00%
org.jfree.data.time.TimeSeriesDataItem,100.00%,89,100.00%
org.jfree.data.time.TimeSeriesTableModel,100.00%,76,100.00%
org.jfree.data.time.TimeTableXYDataset,100.00%,289,96.97%
org.jfree.data.time.Week,100.00%,235,100.00%
org.jfree.data.time.Year,100.00%,182,100.00%
org.jfree.data.time.ohlc.OHLC,100.00%,50,100.00%
org.jfree.data.time.ohlc.OHLCItem,100.00%,43,100.00%
org.jfree.data.time.ohlc.OHLCSeries,100.00%,54,100.00%
org.jfree.data.time.ohlc.OHLCSeriesCollection,50.00%,227,100.00%
org.jfree.data.xml.CategoryDatasetHandler,100.00%,38,100.00%
org.jfree.data.xml.CategorySeriesHandler,100.00%,39,100.00%
org.jfree.data.xml.DatasetReader,100.00%,52,100.00%
org.jfree.data.xml.ItemHandler,100.00%,50,100.00%
org.jfree.data.xml.KeyHandler,100.00%,47,100.00%
org.jfree.data.xml.PieDatasetHandler,100.00%,37,100.00%
org.jfree.data.xml.RootHandler,100.00%,36,100.00%
org.jfree.data.xml.ValueHandler,100.00%,46,100.00%
org.jfree.data.xy.AbstractIntervalXYDataset,100.00%,40,100.00%
org.jfree.data.xy.AbstractXYDataset,100.00%,27,100.00%
org.jfree.data.xy.AbstractXYZDataset,100.00%,12,100.00%
org.jfree.data.xy.CategoryTableXYDataset,100.00%,203,100.00%
org.jfree.data.xy.DefaultHighLowDataset,100.00%,208,100.00%
org.jfree.data.xy.DefaultIntervalXYDataset,100.00%,293,100.00%
org.jfree.data.xy.DefaultOHLCDataset,100.00%,157,100.00%
org.jfree.data.xy.DefaultTableXYDataset,100.00%,245,100.00%
org.jfree.data.xy.DefaultWindDataset,100.00%,130,100.00%
org.jfree.data.xy.DefaultXYDataset,100.00%,176,100.00%
org.jfree.data.xy.DefaultXYZDataset,100.00%,209,100.00%
org.jfree.data.xy.IntervalXYDelegate,100.00%,211,100.00%
org.jfree.data.xy.MatrixSeries,100.00%,87,100.00%
org.jfree.data.xy.MatrixSeriesCollection,100.00%,123,100.00%
org.jfree.data.xy.NormalizedMatrixSeries,100.00%,54,100.00%
org.jfree.data.xy.OHLCDataItem,100.00%,70,100.00%
org.jfree.data.xy.Vector,100.00%,45,100.00%
org.jfree.data.xy.VectorDataItem,100.00%,39,100.00%
org.jfree.data.xy.VectorSeries,100.00%,82,100.00%
org.jfree.data.xy.VectorSeriesCollection,100.00%,148,100.00%
org.jfree.data.xy.WindDataItem,100.00%,43,100.00%
org.jfree.data.xy.XIntervalDataItem,100.00%,31,100.00%
org.jfree.data.xy.XIntervalSeries,100.00%,81,100.00%
org.jfree.data.xy.XIntervalSeriesCollection,100.00%,181,100.00%
org.jfree.data.xy.XYBarDataset,100.00%,195,100.00%
org.jfree.data.xy.XYCoordinate,100.00%,49,100.00%
org.jfree.data.xy.XYDataItem,100.00%,93,100.00%
org.jfree.data.xy.XYDatasetTableModel,100.00%,74,100.00%
org.jfree.data.xy.XYInterval,100.00%,50,100.00%
org.jfree.data.xy.XYIntervalDataItem,100.00%,43,100.00%
org.jfree.data.xy.XYIntervalSeries,100.00%,105,100.00%
org.jfree.data.xy.XYIntervalSeriesCollection,100.00%,186,100.00%
org.jfree.data.xy.XYItemKey,100.00%,33,50.00%
org.jfree.data.xy.XYSeries,100.00%,408,100.00%
org.jfree.data.xy.XYSeriesCollection,100.00%,293,100.00%
org.jfree.data.xy.YInterval,100.00%,36,100.00%
org.jfree.data.xy.YIntervalDataItem,100.00%,31,100.00%
org.jfree.data.xy.YIntervalSeries,100.00%,83,100.00%
org.jfree.data.xy.YIntervalSeriesCollection,100.00%,160,100.00%
org.jfree.data.xy.YWithXInterval,100.00%,40,100.00%
