Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.data.time.TimeSeries,538,508,"1,117"
org.jfree.data.time.TimeSeriesCollection,305,294,614
org.jfree.data.time.TimeSeriesDataItem,90,89,151
org.jfree.data.time.TimeSeriesTableModel,78,76,201
org.jfree.data.time.TimeTableXYDataset,295,289,510
org.jfree.data.time.Week,258,235,553
org.jfree.data.time.Year,192,182,327
org.jfree.data.time.ohlc.OHLC,50,50,106
org.jfree.data.time.ohlc.OHLCItem,43,43,91
org.jfree.data.time.ohlc.OHLCSeries,54,54,87
org.jfree.data.time.ohlc.OHLCSeriesCollection,233,227,406
org.jfree.data.xml.CategoryDatasetHandler,38,38,80
org.jfree.data.xml.CategorySeriesHandler,39,39,90
org.jfree.data.xml.DatasetReader,52,52,111
org.jfree.data.xml.ItemHandler,50,50,108
org.jfree.data.xml.KeyHandler,49,47,98
org.jfree.data.xml.PieDatasetHandler,37,37,76
org.jfree.data.xml.RootHandler,36,36,71
org.jfree.data.xml.ValueHandler,47,46,103
org.jfree.data.xy.AbstractIntervalXYDataset,40,40,80
org.jfree.data.xy.AbstractXYDataset,27,27,52
org.jfree.data.xy.AbstractXYZDataset,12,12,24
org.jfree.data.xy.CategoryTableXYDataset,206,203,341
org.jfree.data.xy.DefaultHighLowDataset,208,208,358
org.jfree.data.xy.DefaultIntervalXYDataset,295,293,483
org.jfree.data.xy.DefaultOHLCDataset,157,157,281
org.jfree.data.xy.DefaultTableXYDataset,252,245,532
org.jfree.data.xy.DefaultWindDataset,130,130,251
org.jfree.data.xy.DefaultXYDataset,178,176,316
org.jfree.data.xy.DefaultXYZDataset,211,209,359
org.jfree.data.xy.IntervalXYDelegate,221,211,390
org.jfree.data.xy.MatrixSeries,89,87,161
org.jfree.data.xy.MatrixSeriesCollection,129,123,229
org.jfree.data.xy.NormalizedMatrixSeries,61,54,95
org.jfree.data.xy.OHLCDataItem,70,70,143
org.jfree.data.xy.Vector,45,45,91
org.jfree.data.xy.VectorDataItem,39,39,73
org.jfree.data.xy.VectorSeries,83,82,123
org.jfree.data.xy.VectorSeriesCollection,153,148,259
org.jfree.data.xy.WindDataItem,43,43,100
org.jfree.data.xy.XIntervalDataItem,31,31,63
org.jfree.data.xy.XIntervalSeries,81,81,117
org.jfree.data.xy.XIntervalSeriesCollection,185,181,313
org.jfree.data.xy.XYBarDataset,195,195,316
org.jfree.data.xy.XYCoordinate,49,49,118
org.jfree.data.xy.XYDataItem,95,93,183
org.jfree.data.xy.XYDatasetTableModel,125,74,193
org.jfree.data.xy.XYInterval,50,50,106
org.jfree.data.xy.XYIntervalDataItem,43,43,97
org.jfree.data.xy.XYIntervalSeries,105,105,150
org.jfree.data.xy.XYIntervalSeriesCollection,190,186,313
org.jfree.data.xy.XYItemKey,33,33,98
org.jfree.data.xy.XYSeries,428,408,842
org.jfree.data.xy.XYSeriesCollection,303,293,650
org.jfree.data.xy.YInterval,36,36,75
org.jfree.data.xy.YIntervalDataItem,31,31,66
org.jfree.data.xy.YIntervalSeries,83,83,118
org.jfree.data.xy.YIntervalSeriesCollection,164,160,277
org.jfree.data.xy.YWithXInterval,40,40,79
