Complexity metrics,Wed., 19 Oct. 2022 19:19:32 EDT,
Class,OCavg,OCmax,WMC
org.jfree.chart.entity.LegendItemEntity,1.62,6,13
org.jfree.chart.entity.NodeEntity,1,1,4
org.jfree.chart.entity.PieSectionEntity,1.5,7,18
org.jfree.chart.entity.PlotEntity,1.6,7,16
org.jfree.chart.entity.StandardEntityCollection,1.42,3,17
org.jfree.chart.entity.TickLabelEntity,1,1,1
org.jfree.chart.entity.TitleEntity,1.6,7,16
org.jfree.chart.entity.XYAnnotationEntity,2,5,8
org.jfree.chart.entity.XYItemEntity,1.44,5,13
org.jfree.chart.event.AnnotationChangeEvent,1,1,2
org.jfree.chart.event.AxisChangeEvent,1,1,2
org.jfree.chart.event.ChartChangeEvent,1,1,7
org.jfree.chart.event.ChartChangeEventType,n/a,n/a,0
org.jfree.chart.event.ChartProgressEvent,1,1,7
org.jfree.chart.event.ChartProgressEventType,n/a,n/a,0
org.jfree.chart.event.MarkerChangeEvent,1,1,2
org.jfree.chart.event.PlotChangeEvent,1,1,2
org.jfree.chart.event.RendererChangeEvent,1,1,4
org.jfree.chart.event.TitleChangeEvent,1,1,2
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,1,1,3
org.jfree.chart.imagemap.ImageMapUtils,3.29,8,23
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,1,1,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,1,1,2
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,1,1,2
org.jfree.chart.internal.Args,2,2,10
org.jfree.chart.internal.ArrayUtils,5.17,10,31
org.jfree.chart.internal.CloneUtils,3.25,4,13
org.jfree.chart.internal.HashUtils,1.9,3,19
org.jfree.chart.internal.LineUtils,7.5,14,15
org.jfree.chart.internal.PaintUtils,4,7,20
org.jfree.chart.internal.SerialUtils,3.94,15,71
org.jfree.chart.internal.ShapeUtils,2.19,8,46
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,1.85,6,24
org.jfree.chart.labels.AbstractPieItemLabelGenerator,2.22,6,20
org.jfree.chart.labels.AbstractXYItemLabelGenerator,1.94,9,31
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,1.75,3,7
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,2,3,8
org.jfree.chart.labels.BubbleXYItemLabelGenerator,1.9,6,19
org.jfree.chart.labels.CustomXYToolTipGenerator,2.25,6,18
org.jfree.chart.labels.HighLowItemLabelGenerator,3,7,21
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,2.25,6,9
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,2.17,6,13
org.jfree.chart.labels.IntervalXYItemLabelGenerator,2.1,10,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,2.1,10,21
org.jfree.chart.labels.ItemLabelAnchor,n/a,n/a,0
org.jfree.chart.labels.ItemLabelPosition,1.67,7,15
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,2.11,6,19
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,1.29,3,9
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,1.43,4,10
org.jfree.chart.labels.StandardCategoryToolTipGenerator,1.33,3,8
org.jfree.chart.labels.StandardCrosshairLabelGenerator,1.57,5,11
org.jfree.chart.labels.StandardFlowLabelGenerator,1.4,3,7
org.jfree.chart.labels.StandardPieSectionLabelGenerator,1.25,4,15
org.jfree.chart.labels.StandardPieToolTipGenerator,1,1,7
org.jfree.chart.labels.StandardXYItemLabelGenerator,1.2,3,12
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,1.43,4,10
org.jfree.chart.labels.StandardXYToolTipGenerator,1.2,3,12
org.jfree.chart.labels.StandardXYZToolTipGenerator,1.8,6,18
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,2,4,12
org.jfree.chart.legend.LegendGraphic,2.03,16,77
org.jfree.chart.legend.LegendItem,1.5,22,87
org.jfree.chart.legend.LegendItemBlockContainer,1.22,3,11
org.jfree.chart.legend.LegendItemCollection,1.33,4,12
org.jfree.chart.legend.LegendRenderingOrder,n/a,n/a,0
org.jfree.chart.legend.LegendTitle,1.83,13,64
org.jfree.chart.legend.PaintScaleLegend,2.41,15,70
org.jfree.chart.plot.CategoryCrosshairState,1.86,4,13
org.jfree.chart.plot.CategoryMarker,1.67,6,15
org.jfree.chart.plot.CategoryPlot,2.65,52,597
org.jfree.chart.plot.CenterTextMode,n/a,n/a,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,2.77,12,72
org.jfree.chart.plot.CombinedDomainXYPlot,2.77,11,86
org.jfree.chart.plot.CombinedRangeCategoryPlot,2.95,11,62
org.jfree.chart.plot.CombinedRangeXYPlot,2.72,11,79
org.jfree.chart.plot.Crosshair,1.43,18,57
org.jfree.chart.plot.CrosshairState,1.42,5,27
org.jfree.chart.plot.DatasetRenderingOrder,n/a,n/a,0
org.jfree.chart.plot.DefaultDrawingSupplier,2.59,13,44
org.jfree.chart.plot.DialShape,n/a,n/a,0
org.jfree.chart.plot.FastScatterPlot,1.96,16,98
org.jfree.chart.plot.IntervalMarker,1.55,7,17
org.jfree.chart.plot.Marker,1.5,16,57
org.jfree.chart.plot.MeterInterval,1.7,8,17
org.jfree.chart.plot.MeterPlot,2.05,22,117
org.jfree.chart.plot.Plot,2.3,18,154
org.jfree.chart.plot.PlotOrientation,1,1,2
org.jfree.chart.plot.PlotRenderingInfo,1.67,6,25
org.jfree.chart.plot.PlotState,1,1,2
org.jfree.chart.plot.PolarAxisLocation,n/a,n/a,0
org.jfree.chart.plot.PolarPlot,2.35,22,221
org.jfree.chart.plot.RingPlot,2.07,20,62
org.jfree.chart.plot.SeriesRenderingOrder,n/a,n/a,0
org.jfree.chart.plot.SpiderWebPlot,2.05,26,127
org.jfree.chart.plot.ThermometerPlot,2.1,27,153
org.jfree.chart.plot.ValueMarker,1.67,5,10
org.jfree.chart.plot.WaferMapPlot,2.36,8,33
org.jfree.chart.plot.XYCrosshairState,1,1,1
org.jfree.chart.plot.XYPlot,2.73,57,645
org.jfree.chart.plot.compass.ArrowNeedle,2.4,5,12
org.jfree.chart.plot.compass.CompassPlot,2.49,13,87
org.jfree.chart.plot.compass.LineNeedle,1.75,3,7
org.jfree.chart.plot.compass.LongNeedle,2.4,6,12
org.jfree.chart.plot.compass.MeterNeedle,1.6,10,40
org.jfree.chart.plot.compass.MiddlePinNeedle,2.25,4,9
org.jfree.chart.plot.compass.PinNeedle,2.25,4,9
org.jfree.chart.plot.compass.PlumNeedle,2,4,8
org.jfree.chart.plot.compass.PointerNeedle,2.75,5,11
org.jfree.chart.plot.compass.ShipNeedle,2,4,8
org.jfree.chart.plot.compass.WindNeedle,2,4,8
org.jfree.chart.plot.dial.AbstractDialLayer,1.36,3,15
org.jfree.chart.plot.dial.ArcDialFrame,1.44,10,36
org.jfree.chart.plot.dial.DialBackground,1.38,5,18
org.jfree.chart.plot.dial.DialCap,1.44,7,23
org.jfree.chart.plot.dial.DialLayerChangeEvent,1,1,2
org.jfree.chart.plot.dial.DialPlot,1.9,12,80
org.jfree.chart.plot.dial.DialPointer,1.4,1,14
org.jfree.chart.plot.dial.DialPointer.Pin,1.36,5,15
org.jfree.chart.plot.dial.DialPointer.Pointer,1.38,6,18
org.jfree.chart.plot.dial.DialTextAnnotation,1.45,9,29
org.jfree.chart.plot.dial.DialValueIndicator,1.5,17,60
org.jfree.chart.plot.dial.StandardDialFrame,1.41,7,24
org.jfree.chart.plot.dial.StandardDialRange,1.55,9,34
org.jfree.chart.plot.dial.StandardDialScale,1.65,20,81
org.jfree.chart.plot.flow.FlowPlot,2.59,33,88
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,1,1,5
org.jfree.chart.plot.pie.MultiplePiePlot,2.54,13,61
org.jfree.chart.plot.pie.PieLabelDistributor,2.89,5,26
org.jfree.chart.plot.pie.PieLabelLinkStyle,n/a,n/a,0
org.jfree.chart.plot.pie.PieLabelRecord,1.81,11,29
org.jfree.chart.plot.pie.PiePlot,2.22,50,293
org.jfree.chart.plot.pie.PiePlotState,1,1,21
org.jfree.chart.renderer.AbstractRenderer,1.96,47,310
org.jfree.chart.renderer.AreaRendererEndType,n/a,n/a,0
org.jfree.chart.renderer.DefaultPolarItemRenderer,2.32,15,88
org.jfree.chart.renderer.GrayPaintScale,1.7,6,17
org.jfree.chart.renderer.LookupPaintScale,2.55,10,28
org.jfree.chart.renderer.LookupPaintScale.PaintItem,2.2,5,11
org.jfree.chart.renderer.NotOutlierException,1,1,1
org.jfree.chart.renderer.Outlier,1.55,5,17
org.jfree.chart.renderer.OutlierList,1.22,2,11
org.jfree.chart.renderer.OutlierListCollection,1.5,5,12
org.jfree.chart.renderer.RendererState,1.4,3,7
org.jfree.chart.renderer.RendererUtils,10.67,15,32
org.jfree.chart.renderer.WaferMapRenderer,3,7,45
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,2.76,19,163
org.jfree.chart.renderer.category.AreaRenderer,4.29,16,30
org.jfree.chart.renderer.category.BarRenderer,2.73,26,134
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,2.97,23,101
org.jfree.chart.renderer.category.CategoryItemRendererState,1.45,4,16
org.jfree.chart.renderer.category.CategoryStepRenderer,3.11,10,28
org.jfree.chart.renderer.category.CategoryStepRenderer.State,1,1,1
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,n/a,n/a,0
org.jfree.chart.renderer.category.GanttRenderer,3.44,18,55
org.jfree.chart.renderer.category.GradientBarPainter,3.44,9,31
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,4.57,14,32
org.jfree.chart.renderer.category.IntervalBarRenderer,3.8,12,19
org.jfree.chart.renderer.category.LayeredBarRenderer,6.11,18,55
org.jfree.chart.renderer.category.LevelRenderer,2.69,8,35
org.jfree.chart.renderer.category.LineAndShapeRenderer,2.29,24,80
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,1.88,13,47
org.jfree.chart.renderer.category.ScatterRenderer,2.21,12,53
org.jfree.chart.renderer.category.StackedAreaRenderer,3.64,16,40
org.jfree.chart.renderer.category.StackedBarRenderer,4.11,19,37
org.jfree.chart.renderer.category.StandardBarPainter,3.5,9,21
org.jfree.chart.renderer.category.StatisticalBarRenderer,4.5,18,54
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,3.75,30,45
org.jfree.chart.renderer.category.WaterfallBarRenderer,2.73,14,41
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,3.13,20,169
org.jfree.chart.renderer.xy.CandlestickRenderer,2.57,26,77
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,4.12,18,33
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,7.2,32,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,1.25,2,15
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,n/a,n/a,0
org.jfree.chart.renderer.xy.DeviationRenderer,2.33,13,28
org.jfree.chart.renderer.xy.DeviationRenderer.State,1,1,1
org.jfree.chart.renderer.xy.DeviationStepRenderer,6.2,18,31
org.jfree.chart.renderer.xy.GradientXYBarPainter,3.44,9,31
org.jfree.chart.renderer.xy.HighLowRenderer,2.82,23,48
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,2.5,9,20
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,1,1,2
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,3.44,33,55
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,1,1,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,3.67,22,44
org.jfree.chart.renderer.xy.StackedXYBarRenderer,4.3,28,43
org.jfree.chart.renderer.xy.StandardXYBarPainter,3.5,9,21
org.jfree.chart.renderer.xy.StandardXYItemRenderer,2.68,31,91
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,1,1,5
org.jfree.chart.renderer.xy.VectorRenderer,5,8,30
org.jfree.chart.renderer.xy.WindItemRenderer,1,1,3
org.jfree.chart.renderer.xy.XYAreaRenderer,3.09,28,68
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,1,1,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,2.67,12,32
org.jfree.chart.renderer.xy.XYBarRenderer,2.84,26,125
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,1,1,3
org.jfree.chart.renderer.xy.XYBlockRenderer,2.63,10,50
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,2.83,22,65
org.jfree.chart.renderer.xy.XYBubbleRenderer,4.29,14,30
org.jfree.chart.renderer.xy.XYDifferenceRenderer,3.68,29,92
org.jfree.chart.renderer.xy.XYDotRenderer,2.31,7,30
org.jfree.chart.renderer.xy.XYErrorRenderer,2.06,10,35
