Complexity metrics,Wed., 19 Oct. 2022 19:19:32 EDT,
Class,OCavg,OCmax,WMC
org.jfree.data.statistics.MeanAndStandardDeviation,1.67,5,15
org.jfree.data.statistics.Regression,6,14,36
org.jfree.data.statistics.SimpleHistogramBin,2.92,7,35
org.jfree.data.statistics.SimpleHistogramDataset,1.54,6,43
org.jfree.data.statistics.Statistics,3.54,7,46
org.jfree.data.time.DateRange,1,1,9
org.jfree.data.time.Day,1.29,4,31
org.jfree.data.time.DynamicTimeSeriesCollection,2.14,9,90
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1.25,2,5
org.jfree.data.time.FixedMillisecond,1.41,5,24
org.jfree.data.time.Hour,1.54,5,37
org.jfree.data.time.Millisecond,1.89,8,36
org.jfree.data.time.Minute,1.64,5,36
org.jfree.data.time.Month,1.96,8,47
org.jfree.data.time.MovingAverage,5.33,11,32
org.jfree.data.time.Quarter,1.59,4,35
org.jfree.data.time.RegularTimePeriod,2.18,8,24
org.jfree.data.time.Second,1.9,7,38
org.jfree.data.time.SimpleTimePeriod,2.22,7,20
org.jfree.data.time.TimePeriodAnchor,n/a,n/a,0
org.jfree.data.time.TimePeriodFormatException,1,1,1
org.jfree.data.time.TimePeriodValue,1.89,7,17
org.jfree.data.time.TimePeriodValues,2,13,44
org.jfree.data.time.TimePeriodValuesCollection,1.78,7,41
org.jfree.data.time.TimeSeries,2.56,9,138
org.jfree.data.time.TimeSeriesCollection,1.87,5,71
org.jfree.data.time.TimeSeriesDataItem,1.67,5,15
org.jfree.data.time.TimeSeriesTableModel,2.36,6,26
org.jfree.data.time.TimeTableXYDataset,1.55,7,51
org.jfree.data.time.Week,2.12,7,53
org.jfree.data.time.Year,1.37,3,26
org.jfree.data.time.ohlc.OHLC,1.86,7,13
org.jfree.data.time.ohlc.OHLCItem,1.57,2,11
org.jfree.data.time.ohlc.OHLCSeries,1.33,3,8
org.jfree.data.time.ohlc.OHLCSeriesCollection,1.43,4,40
org.jfree.data.xml.CategoryDatasetHandler,1.8,4,9
org.jfree.data.xml.CategorySeriesHandler,1.8,3,9
org.jfree.data.xml.DatasetReader,1.17,2,7
org.jfree.data.xml.ItemHandler,1.57,3,11
org.jfree.data.xml.KeyHandler,1.5,2,9
org.jfree.data.xml.PieDatasetHandler,1.8,4,9
org.jfree.data.xml.RootHandler,1.67,4,10
org.jfree.data.xml.ValueHandler,1.67,3,10
org.jfree.data.xy.AbstractIntervalXYDataset,2,2,8
org.jfree.data.xy.AbstractXYDataset,1.67,2,5
org.jfree.data.xy.AbstractXYZDataset,2,2,2
org.jfree.data.xy.CategoryTableXYDataset,1.22,4,33
org.jfree.data.xy.DefaultHighLowDataset,1.79,10,34
org.jfree.data.xy.DefaultIntervalXYDataset,1.7,11,34
org.jfree.data.xy.DefaultOHLCDataset,1.45,5,29
org.jfree.data.xy.DefaultTableXYDataset,1.92,7,69
org.jfree.data.xy.DefaultWindDataset,2,7,26
org.jfree.data.xy.DefaultXYDataset,1.93,7,29
org.jfree.data.xy.DefaultXYZDataset,1.71,8,29
org.jfree.data.xy.IntervalXYDelegate,1.82,6,40
org.jfree.data.xy.MatrixSeries,1.82,8,20
org.jfree.data.xy.MatrixSeriesCollection,1.44,4,23
org.jfree.data.xy.NormalizedMatrixSeries,1,1,6
org.jfree.data.xy.OHLCDataItem,1.89,8,17
org.jfree.data.xy.Vector,1.57,5,11
org.jfree.data.xy.VectorDataItem,1.33,2,8
org.jfree.data.xy.VectorSeries,1,1,10
org.jfree.data.xy.VectorSeriesCollection,1.22,3,22
org.jfree.data.xy.WindDataItem,2.33,6,14
org.jfree.data.xy.XIntervalDataItem,1.6,2,8
org.jfree.data.xy.XIntervalSeries,1,1,9
org.jfree.data.xy.XIntervalSeriesCollection,1.23,3,27
org.jfree.data.xy.XYBarDataset,1.32,5,29
org.jfree.data.xy.XYCoordinate,2.12,6,17
org.jfree.data.xy.XYDataItem,1.62,5,21
org.jfree.data.xy.XYDatasetTableModel,1.7,3,17
org.jfree.data.xy.XYInterval,2,8,14
org.jfree.data.xy.XYIntervalDataItem,1.71,2,12
org.jfree.data.xy.XYIntervalSeries,1,1,11
org.jfree.data.xy.XYIntervalSeriesCollection,1.23,3,27
org.jfree.data.xy.XYItemKey,1.62,5,13
org.jfree.data.xy.XYSeries,2.22,10,100
org.jfree.data.xy.XYSeriesCollection,2.08,6,81
org.jfree.data.xy.YInterval,2,6,10
org.jfree.data.xy.YIntervalDataItem,1.6,2,8
org.jfree.data.xy.YIntervalSeries,1,1,9
org.jfree.data.xy.YIntervalSeriesCollection,1.2,3,24
org.jfree.data.xy.YWithXInterval,2,6,10
