Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.labels.CategorySeriesLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CategoryToolTipGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CrosshairLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CustomXYItemLabelGeneratorTest,4,13,100.00%,0,3,44,0,14,3
org.jfree.chart.labels.CustomXYToolTipGenerator,4,57,100.00%,0,1,128,0,16,18
org.jfree.chart.labels.FlowLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.HighLowItemLabelGenerator,10,58,100.00%,0,2,154,0,31,21
org.jfree.chart.labels.HighLowItemLabelGeneratorTest,4,18,100.00%,0,5,65,0,20,5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,33,100.00%,0,1,80,0,16,9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest,5,18,100.00%,0,5,74,0,21,5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,8,42,83.33%,0,1,101,0,20,13
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest,5,21,100.00%,0,6,86,0,24,6
org.jfree.chart.labels.IntervalXYItemLabelGenerator,7,84,90.00%,0,2,203,0,39,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,6,84,90.00%,0,2,199,0,39,21
org.jfree.chart.labels.ItemLabelAnchor,10,29,0.00%,0,2,56,n/a,2,0
org.jfree.chart.labels.ItemLabelAnchorTest,2,9,100.00%,0,1,22,0,6,2
org.jfree.chart.labels.ItemLabelPosition,18,59,88.89%,0,4,130,0,13,15
org.jfree.chart.labels.ItemLabelPositionTest,2,9,100.00%,0,2,23,0,5,2
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,7,65,100.00%,0,1,166,0,30,19
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest,4,21,100.00%,0,5,73,0,18,5
org.jfree.chart.labels.PieSectionLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.labels.PieToolTipGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,12,51,85.71%,0,1,92,1,13,9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,6,25,100.00%,0,7,112,0,30,7
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,9,52,100.00%,0,1,102,0,14,10
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest,5,21,100.00%,0,6,79,0,22,6
org.jfree.chart.labels.StandardCategoryToolTipGenerator,21,41,83.33%,0,1,79,2,11,8
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest,5,21,100.00%,0,6,92,0,23,6
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,45,100.00%,0,1,96,0,16,11
org.jfree.chart.labels.StandardFlowLabelGenerator,7,33,80.00%,0,1,73,0,16,7
org.jfree.chart.labels.StandardFlowLabelGeneratorTest,2,9,100.00%,0,2,24,0,5,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,9,110,91.67%,0,2,182,0,28,15
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest,4,18,100.00%,0,5,93,0,21,5
org.jfree.chart.labels.StandardPieToolTipGenerator,7,56,100.00%,0,1,87,0,13,7
org.jfree.chart.labels.StandardPieToolTipGeneratorTest,5,18,100.00%,0,5,85,0,21,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,7,80,90.00%,0,1,132,0,19,12
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest,5,22,100.00%,0,5,115,0,27,5
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,58,100.00%,0,1,109,0,14,10
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,6,21,100.00%,0,6,77,0,22,6
org.jfree.chart.labels.StandardXYToolTipGenerator,19,80,90.00%,0,2,133,2,20,12
org.jfree.chart.labels.StandardXYToolTipGeneratorTest,4,19,100.00%,0,5,92,0,20,5
org.jfree.chart.labels.StandardXYZToolTipGenerator,9,87,90.00%,0,1,187,0,30,18
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest,4,26,100.00%,0,5,109,0,20,5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,11,52,100.00%,0,2,112,0,18,12
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest,4,18,100.00%,0,5,55,0,14,5
org.jfree.chart.labels.XYItemLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYSeriesLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYToolTipGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYZToolTipGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendGraphic,16,315,100.00%,0,1,623,0,87,77
org.jfree.chart.legend.LegendGraphicTest,6,34,100.00%,0,1,147,0,40,5
org.jfree.chart.legend.LegendItem,62,501,98.28%,0,24,919,0,89,87
org.jfree.chart.legend.LegendItemBlockContainer,10,66,100.00%,0,2,122,0,22,11
org.jfree.chart.legend.LegendItemCollection,30,51,88.89%,0,1,99,0,19,12
org.jfree.chart.legend.LegendItemSource,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendRenderingOrder,0,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.legend.LegendTitle,38,235,97.14%,0,2,545,0,124,64
org.jfree.chart.legend.LegendTitleTest,9,16,100.00%,0,3,86,0,27,4
org.jfree.chart.legend.PaintScaleLegend,25,236,100.00%,0,1,598,0,101,70
org.jfree.chart.legend.PaintScaleLegendTest,8,25,100.00%,0,4,107,0,30,4
org.jfree.chart.plot.CategoryCrosshairState,5,58,100.00%,0,1,119,0,15,13
org.jfree.chart.plot.CategoryMarker,10,70,100.00%,0,2,129,0,18,15
org.jfree.chart.plot.CategoryMarkerTest,6,30,100.00%,0,2,129,0,27,6
org.jfree.chart.plot.CategoryPlot,113,"2,071",99.11%,0,13,"4,415",2,451,597
org.jfree.chart.plot.CategoryPlotTest,40,179,83.78%,0,26,"1,043",0,186,37
org.jfree.chart.plot.CenterTextMode,2,6,0.00%,0,2,11,n/a,2,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,21,220,100.00%,0,3,555,0,117,72
org.jfree.chart.plot.CombinedDomainCategoryPlotTest,16,46,100.00%,0,2,187,0,51,9
org.jfree.chart.plot.CombinedDomainXYPlot,25,260,100.00%,0,3,626,0,122,86
org.jfree.chart.plot.CombinedDomainXYPlotTest,16,51,100.00%,0,3,192,0,58,10
org.jfree.chart.plot.CombinedRangeCategoryPlot,22,174,100.00%,0,2,456,0,102,62
org.jfree.chart.plot.CombinedRangeCategoryPlotTest,15,45,100.00%,0,2,186,0,49,9
org.jfree.chart.plot.CombinedRangeXYPlot,23,237,100.00%,0,3,583,0,118,79
org.jfree.chart.plot.CombinedRangeXYPlotTest,16,49,100.00%,0,2,184,0,55,9
org.jfree.chart.plot.Crosshair,11,342,100.00%,0,1,618,0,67,57
org.jfree.chart.plot.CrosshairState,35,180,100.00%,0,1,287,2,22,27
org.jfree.chart.plot.CrosshairTest,5,18,100.00%,0,3,117,0,37,5
org.jfree.chart.plot.DatasetRenderingOrder,3,13,0.00%,0,2,17,n/a,2,0
org.jfree.chart.plot.DefaultDrawingSupplier,12,152,100.00%,0,2,410,0,35,44
org.jfree.chart.plot.DefaultDrawingSupplierTest,3,23,100.00%,0,3,123,0,19,3
org.jfree.chart.plot.DialShape,2,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.plot.DrawingSupplier,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.FastScatterPlot,25,431,100.00%,0,5,904,0,119,98
org.jfree.chart.plot.FastScatterPlotTest,7,26,100.00%,0,4,153,0,32,7
org.jfree.chart.plot.IntervalMarker,10,80,100.00%,0,3,152,0,19,17
org.jfree.chart.plot.IntervalMarkerTest,9,23,100.00%,0,4,86,0,23,6
org.jfree.chart.plot.Marker,27,300,100.00%,0,2,546,3,63,57
org.jfree.chart.plot.MarkerTest,11,87,100.00%,0,3,317,0,65,15
org.jfree.chart.plot.MeterInterval,8,74,100.00%,0,5,149,0,22,17
org.jfree.chart.plot.MeterIntervalTest,3,12,100.00%,0,3,48,0,11,3
org.jfree.chart.plot.MeterPlot,21,481,100.00%,0,3,"1,085",0,142,117
org.jfree.chart.plot.MeterPlotTest,7,38,100.00%,0,3,171,0,41,4
org.jfree.chart.plot.MyPlotChangeListener,4,21,100.00%,0,1,37,0,4,4
org.jfree.chart.plot.Pannable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
org.jfree.chart.plot.Plot,102,626,100.00%,0,8,"1,223",13,136,154
org.jfree.chart.plot.PlotOrientation,102,19,50.00%,0,4,29,n/a,5,2
org.jfree.chart.plot.PlotOrientationTest,2,10,100.00%,0,1,27,0,6,2
org.jfree.chart.plot.PlotRenderingInfo,103,112,93.33%,0,3,215,0,32,25
org.jfree.chart.plot.PlotRenderingInfoTest,4,13,100.00%,0,3,61,0,21,3
org.jfree.chart.plot.PlotState,20,12,100.00%,0,1,21,0,3,2
org.jfree.chart.plot.PlotTest,5,25,100.00%,0,1,101,0,23,1
org.jfree.chart.plot.PolarAxisLocation,1,11,0.00%,0,2,21,n/a,2,0
org.jfree.chart.plot.PolarPlot,44,818,100.00%,0,13,"1,748",0,218,221
org.jfree.chart.plot.PolarPlotTest,14,20,62.50%,0,7,258,0,66,8
org.jfree.chart.plot.RingPlot,25,267,100.00%,0,2,569,0,111,62
org.jfree.chart.plot.RingPlotTest,4,18,100.00%,0,1,94,0,26,3
org.jfree.chart.plot.SeriesRenderingOrder,1,12,0.00%,0,2,16,n/a,2,0
org.jfree.chart.plot.SpiderWebPlot,29,567,100.00%,0,2,"1,216",0,177,127
org.jfree.chart.plot.SpiderWebPlotTest,12,47,100.00%,0,3,237,0,62,5
org.jfree.chart.plot.ThermometerPlot,27,644,100.00%,0,10,"1,367",0,161,153
org.jfree.chart.plot.ThermometerPlotTest,4,25,100.00%,0,3,125,0,32,4
org.jfree.chart.plot.ValueAxisPlot,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.ValueMarker,9,57,100.00%,0,1,96,0,11,10
org.jfree.chart.plot.ValueMarkerTest,10,26,100.00%,0,4,150,0,43,7
org.jfree.chart.plot.WaferMapPlot,15,120,100.00%,0,4,331,0,52,33
org.jfree.chart.plot.XYCrosshairState,1,7,100.00%,0,0,11,0,1,1
org.jfree.chart.plot.XYPlot,130,"2,210",98.31%,0,6,"4,893",2,462,645
org.jfree.chart.plot.XYPlotTest,41,226,82.98%,0,33,"1,173",0,196,47
org.jfree.chart.plot.Zoomable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
org.jfree.chart.plot.compass.ArrowNeedle,5,42,100.00%,0,1,111,1,26,12
org.jfree.chart.plot.compass.ArrowNeedleTest,3,12,100.00%,0,3,39,0,11,3
org.jfree.chart.plot.compass.CompassPlot,25,300,100.00%,0,6,707,0,99,87
org.jfree.chart.plot.compass.CompassPlotTest,4,19,100.00%,0,2,77,0,21,3
org.jfree.chart.plot.compass.LineNeedle,4,33,100.00%,0,1,67,0,19,7
org.jfree.chart.plot.compass.LineNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.LongNeedle,3,38,100.00%,0,1,118,0,33,12
org.jfree.chart.plot.compass.LongNeedleTest,3,12,100.00%,0,3,35,0,10,3
org.jfree.chart.plot.compass.MeterNeedle,14,160,100.00%,0,5,320,8,53,40
org.jfree.chart.plot.compass.MeterNeedleTest,2,6,100.00%,0,1,43,0,12,1
org.jfree.chart.plot.compass.MiddlePinNeedle,3,35,100.00%,0,1,88,0,24,9
org.jfree.chart.plot.compass.MiddlePinNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.PinNeedle,3,35,100.00%,0,1,86,0,24,9
org.jfree.chart.plot.compass.PinNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.PlumNeedle,3,33,100.00%,0,1,77,0,24,8
org.jfree.chart.plot.compass.PlumNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.PointerNeedle,3,34,100.00%,0,1,98,0,30,11
org.jfree.chart.plot.compass.PointerNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.ShipNeedle,3,34,100.00%,0,1,76,0,23,8
org.jfree.chart.plot.compass.ShipNeedleTest,3,12,100.00%,0,3,35,0,9,3
org.jfree.chart.plot.compass.WindNeedle,4,29,100.00%,0,1,68,0,15,8
org.jfree.chart.plot.compass.WindNeedleTest,3,12,100.00%,0,3,35,0,10,3
org.jfree.chart.plot.dial.AbstractDialLayer,27,84,100.00%,0,1,150,9,22,15
org.jfree.chart.plot.dial.AbstractDialLayerTest,5,17,100.00%,0,3,51,0,17,3
org.jfree.chart.plot.dial.ArcDialFrame,11,204,100.00%,0,3,411,0,59,36
org.jfree.chart.plot.dial.ArcDialFrameTest,5,24,100.00%,0,4,95,0,29,4
org.jfree.chart.plot.dial.DialBackground,13,107,100.00%,0,2,190,0,30,18
org.jfree.chart.plot.dial.DialBackgroundTest,7,24,100.00%,0,1,90,0,26,4
org.jfree.chart.plot.dial.DialCap,12,139,100.00%,0,2,253,0,43,23
org.jfree.chart.plot.dial.DialCapTest,5,25,100.00%,0,2,101,0,27,4
org.jfree.chart.plot.dial.DialFrame,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialLayer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.dial.DialLayerChangeEvent,17,15,100.00%,0,1,25,0,3,2
org.jfree.chart.plot.dial.DialLayerChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialPlot,27,344,100.00%,0,6,695,0,91,80
org.jfree.chart.plot.dial.DialPlotTest,11,41,100.00%,0,4,204,0,41,10
org.jfree.chart.plot.dial.DialPointer,9,72,100.00%,0,3,129,2,15,14
org.jfree.chart.plot.dial.DialPointer.Pin,10,79,100.00%,0,1,160,0,42,15
org.jfree.chart.plot.dial.DialPointer.Pointer,10,97,100.00%,0,1,218,0,48,18
org.jfree.chart.plot.dial.DialPointerTest,7,28,100.00%,0,6,106,0,31,7
org.jfree.chart.plot.dial.DialScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.plot.dial.DialTextAnnotation,12,167,100.00%,0,2,307,0,48,29
org.jfree.chart.plot.dial.DialTextAnnotationTest,5,25,100.00%,0,3,90,0,27,4
org.jfree.chart.plot.dial.DialValueIndicator,15,328,100.00%,0,2,626,0,90,60
org.jfree.chart.plot.dial.DialValueIndicatorTest,8,32,100.00%,0,4,129,0,37,4
org.jfree.chart.plot.dial.MyDialLayerChangeListener,12,11,100.00%,0,1,18,0,2,2
org.jfree.chart.plot.dial.StandardDialFrame,11,138,100.00%,0,2,268,0,47,24
org.jfree.chart.plot.dial.StandardDialFrameTest,5,21,100.00%,0,4,80,0,26,4
org.jfree.chart.plot.dial.StandardDialRange,11,175,100.00%,0,2,340,0,44,34
org.jfree.chart.plot.dial.StandardDialRangeTest,5,20,100.00%,0,4,73,0,24,4
org.jfree.chart.plot.dial.StandardDialScale,12,466,100.00%,0,2,860,0,82,81
org.jfree.chart.plot.dial.StandardDialScaleTest,5,41,100.00%,0,3,187,0,42,6
org.jfree.chart.plot.flow.FlowPlot,22,265,100.00%,0,2,684,0,120,88
org.jfree.chart.plot.flow.FlowPlotTest,8,27,33.33%,0,2,194,0,41,15
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,4,37,100.00%,0,2,57,1,12,5
org.jfree.chart.plot.pie.MultiplePiePlot,33,185,100.00%,0,2,499,0,106,61
org.jfree.chart.plot.pie.MultiplePiePlotTest,12,28,100.00%,0,5,122,0,41,6
org.jfree.chart.plot.pie.PieLabelDistributor,3,58,100.00%,0,1,161,0,24,26
org.jfree.chart.plot.pie.PieLabelLinkStyle,4,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.plot.pie.PieLabelRecord,5,104,100.00%,0,7,215,0,19,29
org.jfree.chart.plot.pie.PieLabelRecordTest,3,12,100.00%,0,3,65,0,11,3
org.jfree.chart.plot.pie.PiePlot,50,"1,333",100.00%,0,2,"2,845",1,320,293
org.jfree.chart.plot.pie.PiePlotState,4,123,100.00%,0,10,200,0,22,21
org.jfree.chart.plot.pie.PiePlotTest,16,95,68.75%,0,14,524,0,108,16
org.jfree.chart.plot.pie.PiePlotTest.NullLegendLabelGenerator,3,0,0.00%,0,2,11,0,2,2
org.jfree.chart.renderer.AbstractRenderer,94,"1,504",100.00%,0,5,"2,698",4,219,310
org.jfree.chart.renderer.AbstractRendererTest,16,98,71.43%,0,3,605,0,109,14
org.jfree.chart.renderer.AbstractRendererTest.MyRendererChangeListener,3,7,50.00%,0,1,17,0,2,2
org.jfree.chart.renderer.AbstractRendererTest.TestRenderer,3,0,0.00%,0,1,7,0,2,1
org.jfree.chart.renderer.AreaRendererEndType,3,12,0.00%,0,2,17,n/a,2,0
org.jfree.chart.renderer.AreaRendererEndTypeTest,2,9,100.00%,0,1,25,0,5,2
org.jfree.chart.renderer.DefaultPolarItemRenderer,29,317,100.00%,0,1,763,0,132,88
org.jfree.chart.renderer.DefaultPolarItemRendererTest,4,15,100.00%,0,4,54,0,15,4
org.jfree.chart.renderer.GrayPaintScale,6,86,100.00%,0,1,162,0,16,17
org.jfree.chart.renderer.GrayPaintScaleTest,3,20,100.00%,0,5,78,0,21,5
org.jfree.chart.renderer.LookupPaintScale,12,89,100.00%,0,1,207,0,28,28
org.jfree.chart.renderer.LookupPaintScale.PaintItem,3,41,100.00%,0,1,89,0,10,11
org.jfree.chart.renderer.LookupPaintScaleTest,3,23,100.00%,0,1,124,0,23,6
org.jfree.chart.renderer.NotOutlierException,0,9,100.00%,0,0,14,0,2,1
org.jfree.chart.renderer.Outlier,5,82,100.00%,0,1,150,0,15,17
org.jfree.chart.renderer.OutlierList,4,71,100.00%,0,2,116,0,18,11
org.jfree.chart.renderer.OutlierListCollection,4,72,100.00%,0,3,117,0,17,12
org.jfree.chart.renderer.OutlierTest,1,15,100.00%,0,4,54,0,15,4
org.jfree.chart.renderer.PaintScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.renderer.PolarItemRenderer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.renderer.RendererChangeDetector,4,25,100.00%,0,1,41,0,4,4
org.jfree.chart.renderer.RendererState,32,37,100.00%,0,2,64,3,7,7
org.jfree.chart.renderer.RendererUtils,5,59,100.00%,0,1,208,0,10,32
org.jfree.chart.renderer.RendererUtilsTest,5,73,100.00%,0,5,299,0,17,11
org.jfree.chart.renderer.WaferMapRenderer,8,110,100.00%,0,1,293,0,46,45
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,79,582,100.00%,0,10,"1,449",8,204,163
org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest,13,51,72.73%,0,11,246,0,56,11
org.jfree.chart.renderer.category.AreaRenderer,22,71,100.00%,0,2,243,1,67,30
org.jfree.chart.renderer.category.AreaRendererTest,13,23,100.00%,0,6,87,0,35,6
org.jfree.chart.renderer.category.BarPainter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.category.BarRenderer,50,485,100.00%,0,7,"1,126",5,162,134
org.jfree.chart.renderer.category.BarRendererTest,20,46,100.00%,0,7,208,0,67,9
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,27,377,100.00%,0,3,933,0,137,101
org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest,16,72,100.00%,0,16,436,0,70,22
org.jfree.chart.renderer.category.CategoryItemRenderer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,135,n/a
org.jfree.chart.renderer.category.CategoryItemRendererState,25,87,100.00%,0,4,147,1,13,16
org.jfree.chart.renderer.category.CategoryStepRenderer,18,105,100.00%,0,3,250,0,56,28
org.jfree.chart.renderer.category.CategoryStepRenderer.State,3,13,100.00%,0,0,20,0,3,1
org.jfree.chart.renderer.category.CategoryStepRendererTest,10,22,100.00%,0,5,72,0,28,5
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,3,6,100.00%,0,0,10,0,0,0
org.jfree.chart.renderer.category.DefaultCategoryItemRendererTest,5,18,100.00%,0,5,56,0,15,5
org.jfree.chart.renderer.category.GanttRenderer,23,170,100.00%,0,2,497,0,68,55
org.jfree.chart.renderer.category.GanttRendererTest,4,18,100.00%,0,3,78,0,22,5
org.jfree.chart.renderer.category.GradientBarPainter,9,91,100.00%,0,1,294,0,34,31
org.jfree.chart.renderer.category.GradientBarPainterTest,3,16,100.00%,0,4,57,0,11,4
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,23,79,100.00%,0,1,279,0,56,32
org.jfree.chart.renderer.category.GroupedStackedBarRendererTest,11,27,100.00%,0,6,111,0,32,6
org.jfree.chart.renderer.category.IntervalBarRenderer,19,66,100.00%,0,2,170,1,36,19
org.jfree.chart.renderer.category.IntervalBarRendererTest,13,30,100.00%,0,7,107,0,32,7
org.jfree.chart.renderer.category.LayeredBarRenderer,17,111,88.89%,0,2,373,0,67,55
org.jfree.chart.renderer.category.LayeredBarRendererTest,11,26,100.00%,0,6,89,0,29,6
org.jfree.chart.renderer.category.LevelRenderer,18,147,100.00%,0,1,348,0,69,35
org.jfree.chart.renderer.category.LevelRendererTest,11,39,100.00%,0,7,134,0,36,8
org.jfree.chart.renderer.category.LineAndShapeRenderer,27,357,100.00%,0,2,714,2,100,80
org.jfree.chart.renderer.category.LineAndShapeRendererTest,13,38,100.00%,0,7,202,0,48,20
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,16,189,100.00%,0,2,428,0,54,47
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest,10,25,100.00%,0,6,93,0,31,6
org.jfree.chart.renderer.category.ScatterRenderer,17,229,100.00%,0,2,472,0,84,53
org.jfree.chart.renderer.category.ScatterRendererTest,8,33,100.00%,0,6,138,0,33,11
org.jfree.chart.renderer.category.StackedAreaRenderer,18,118,100.00%,0,2,382,0,46,40
org.jfree.chart.renderer.category.StackedAreaRendererTest,7,22,100.00%,0,6,81,0,25,6
org.jfree.chart.renderer.category.StackedBarRenderer,25,93,100.00%,0,2,288,1,57,37
org.jfree.chart.renderer.category.StackedBarRendererTest,7,22,100.00%,0,6,82,0,25,6
org.jfree.chart.renderer.category.StandardBarPainter,8,61,100.00%,0,2,156,0,25,21
org.jfree.chart.renderer.category.StandardBarPainterTest,3,16,100.00%,0,4,45,0,10,4
org.jfree.chart.renderer.category.StatisticalBarRenderer,22,148,100.00%,0,2,451,0,56,54
org.jfree.chart.renderer.category.StatisticalBarRendererTest,14,54,100.00%,0,10,208,0,41,11
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,21,122,100.00%,0,2,363,0,71,45
org.jfree.chart.renderer.category.StatisticalLineAndShapeRendererTest,12,33,100.00%,0,8,128,0,38,8
org.jfree.chart.renderer.category.WaterfallBarRenderer,24,134,100.00%,0,2,368,0,64,41
org.jfree.chart.renderer.category.WaterfallBarRendererTest,5,65,100.00%,0,5,129,0,25,6
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,85,513,98.15%,0,11,"1,426",18,209,169
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest,11,29,75.00%,0,7,113,0,39,8
org.jfree.chart.renderer.xy.CandlestickRenderer,25,352,100.00%,0,2,749,0,84,77
org.jfree.chart.renderer.xy.CandlestickRendererTest,9,35,100.00%,0,6,147,0,43,7
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,21,94,100.00%,0,2,272,0,53,33
org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest,8,28,100.00%,0,6,109,0,26,7
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,12,64,100.00%,0,1,235,0,18,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,89,100.00%,0,5,153,0,16,15
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,2,6,100.00%,0,0,10,0,0,0
org.jfree.chart.renderer.xy.DeviationRenderer,20,123,100.00%,0,4,264,1,51,28
org.jfree.chart.renderer.xy.DeviationRenderer.State,4,16,100.00%,0,0,25,0,3,1
org.jfree.chart.renderer.xy.DeviationRendererTest,4,19,100.00%,0,5,60,0,17,5
org.jfree.chart.renderer.xy.DeviationStepRenderer,17,74,100.00%,0,1,234,0,48,31
org.jfree.chart.renderer.xy.DeviationStepRendererTest,5,19,100.00%,0,5,60,0,17,5
org.jfree.chart.renderer.xy.GradientXYBarPainter,9,90,100.00%,0,1,293,0,33,31
org.jfree.chart.renderer.xy.GradientXYBarPainterTest,3,16,100.00%,0,4,57,0,11,4
org.jfree.chart.renderer.xy.HighLowRenderer,21,170,100.00%,0,2,386,0,53,48
org.jfree.chart.renderer.xy.HighLowRendererTest,9,28,100.00%,0,6,109,0,30,6
org.jfree.chart.renderer.xy.RendererXYPackageUtils,9,15,100.00%,0,2,41,0,8,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,16,89,100.00%,0,2,214,0,43,20
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,4,39,100.00%,0,1,62,0,5,2
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,24,190,100.00%,0,4,457,0,86,55
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,3,47,100.00%,0,4,81,0,11,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,21,134,100.00%,0,2,436,0,47,44
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test,15,27,100.00%,0,6,106,0,35,7
org.jfree.chart.renderer.xy.StackedXYAreaRendererTest,16,30,100.00%,0,8,147,0,39,8
org.jfree.chart.renderer.xy.StackedXYBarRenderer,24,116,100.00%,0,3,320,0,56,43
org.jfree.chart.renderer.xy.StackedXYBarRendererTest,14,26,100.00%,0,6,104,0,32,7
org.jfree.chart.renderer.xy.StandardXYBarPainter,8,61,100.00%,0,2,156,0,24,21
org.jfree.chart.renderer.xy.StandardXYBarPainterTest,3,16,100.00%,0,4,45,0,10,4
org.jfree.chart.renderer.xy.StandardXYItemRenderer,33,356,100.00%,0,1,767,1,117,91
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,3,38,100.00%,0,2,58,0,6,5
org.jfree.chart.renderer.xy.StandardXYItemRendererTest,18,29,100.00%,0,6,167,0,58,7
org.jfree.chart.renderer.xy.VectorRenderer,18,73,100.00%,0,2,262,0,40,30
org.jfree.chart.renderer.xy.VectorRendererTest,5,20,100.00%,0,5,61,0,17,5
org.jfree.chart.renderer.xy.WindItemRenderer,14,38,100.00%,0,1,105,0,25,3
org.jfree.chart.renderer.xy.WindItemRendererTest,4,18,100.00%,0,5,54,0,15,5
org.jfree.chart.renderer.xy.XYAreaRenderer,30,217,100.00%,0,3,558,1,102,68
